"","alpha","b_mkt","b_smb","b_hml","ivol","tvol","exret","exret_sq","Direction"
"312",5e-04,1.0206,-0.2208,-0.1763,0.009377,0.012222,7e-04,1.4197824e-05,"1"
"313",5e-04,1.014,-0.2303,-0.1766,0.009357,0.012179,0.003768,0.000336465649,"0"
"314",5e-04,1.0224,-0.243,-0.2081,0.009421,0.012279,-0.018343,4.1190724e-05,"1"
"315",5e-04,1.023,-0.2434,-0.2057,0.009422,0.012281,0.006418,5.929e-07,"0"
"316",4e-04,1.0225,-0.2364,-0.2219,0.009402,0.012279,-0.00077,8.57476e-07,"0"
"317",4e-04,1.0241,-0.2343,-0.2229,0.009402,0.012254,-0.000926,0.000205692964,"0"
"318",3e-04,1.0345,-0.2357,-0.1958,0.009414,0.012275,-0.014342,1.3388281e-05,"1"
"319",4e-04,1.0395,-0.2349,-0.2002,0.009366,0.012267,0.003659,2.0557156e-05,"1"
"320",4e-04,1.0457,-0.2381,-0.2186,0.009358,0.012276,0.004534,5.76081e-05,"1"
"321",4e-04,1.046,-0.2305,-0.2136,0.009368,0.012195,0.00759,1.2931216e-05,"0"
"322",4e-04,1.0421,-0.2311,-0.2138,0.009367,0.012154,-0.003596,1.9368801e-05,"0"
"323",5e-04,1.0557,-0.2526,-0.2081,0.00921,0.012088,-0.004401,0.000125484804,"0"
"324",5e-04,1.0607,-0.2538,-0.1983,0.009226,0.012114,-0.011202,2.9095236e-05,"1"
"325",5e-04,1.0607,-0.2574,-0.2018,0.009224,0.012118,0.005394,3.069504e-06,"0"
"326",5e-04,1.0594,-0.2568,-0.1999,0.009225,0.012127,-0.001752,4.489e-07,"0"
"327",5e-04,1.0593,-0.2566,-0.1958,0.009225,0.012122,-0.00067,4.2653961e-05,"1"
"328",6e-04,1.0657,-0.2459,-0.199,0.009174,0.012117,0.006531,1.1978521e-05,"1"
"329",6e-04,1.0665,-0.244,-0.2097,0.009172,0.012122,0.003461,0.000225090009,"0"
"330",6e-04,1.0647,-0.2316,-0.1955,0.009221,0.012147,-0.015003,0.000165842884,"0"
"331",5e-04,1.0734,-0.2173,-0.2196,0.009247,0.012206,-0.012878,1.4945956e-05,"1"
"332",5e-04,1.0737,-0.2075,-0.1992,0.009244,0.012198,0.003866,4.6881409e-05,"0"
"333",4e-04,1.0773,-0.2066,-0.2135,0.009248,0.012221,-0.006847,2.5120144e-05,"0"
"334",4e-04,1.0815,-0.2006,-0.2205,0.009251,0.012271,-0.005012,6.538249e-06,"1"
"335",4e-04,1.0829,-0.201,-0.2216,0.009247,0.012299,0.002557,1.243225e-06,"1"
"336",5e-04,1.0826,-0.197,-0.2125,0.00924,0.012289,0.001115,4.225e-07,"1"
"337",5e-04,1.0824,-0.196,-0.2103,0.009239,0.012319,0.00065,1.25316e-05,"0"
"338",4e-04,1.0927,-0.193,-0.2103,0.009209,0.012332,-0.00354,1.336336e-06,"0"
"339",4e-04,1.0938,-0.1941,-0.2017,0.009208,0.012333,-0.001156,4.9252324e-05,"1"
"340",4e-04,1.0999,-0.1973,-0.2063,0.009215,0.0124,0.007018,9.585216e-06,"1"
