Date,VTI,VXUS,BND,BNDX,VUG,VTV,QQQ,XLE,RM-Rf,SMB,HML,RMW,CMA,ETH,ETH_V,BTC,BTC_V
9/16/2015,0.843159345,1.665775594,-0.061656359,-0.284805971,0.781211257,0.879613855,0.561853874,2.794337018,0.84,0.04,0.43,0.31,0.2,-4.022501861,615593,-0.528086204,20144200
9/17/2015,-0.135210415,0.085771553,0.565749821,0.09501611,-0.019004929,-0.350908748,0.037352914,-0.061247883,-0.17,0.78,-1.5,-0.26,-0.32,-3.699073248,897940,0.313355424,18935400
9/18/2015,-1.597529056,-2.364290249,0.281690627,0.587118263,-1.36652486,-1.773323184,-1.432483971,-2.661590337,-1.62,0.29,-0.94,-0.43,-0.45,-2.378236951,484622,1.367830556,20242200
9/21/2015,0.401789444,0.0877761,-0.367581296,-0.264745316,0.305531128,0.506907125,0.31271928,0.568920228,0.36,-0.85,1.24,0.48,0.12,7.377499031,424039,-2.560674987,19678800
9/22/2015,-1.348911306,-2.374432478,0.183971044,0.321349933,-1.366351826,-1.197583778,-1.506343934,-1.061390592,-1.29,-0.3,0.14,0.3,0.1,-1.894893319,487914,1.543821713,25009300
9/23/2015,-0.198451073,-0.60818471,0,-0.188877824,-0.146454946,-0.259450693,0.076811264,-1.298425696,-0.27,-0.22,-0.16,-0.17,-0.27,-0.934720559,200541,-0.145363563,17254100
9/24/2015,-0.358225961,-0.294131731,0.036746731,0.113378529,-0.411260098,-0.247079073,-0.365402375,0.434695592,-0.36,0.27,0.52,-0.08,0.04,-9.35599891,842505,1.827026841,25097800
9/25/2015,-0.202575748,0.667349303,-0.183880355,-0.132274537,-0.442469884,0.234099723,-0.851400579,0.192564767,-0.22,-1.47,1.87,0.52,0.48,-9.994807374,903457,0.261880221,22363600
9/28/2015,-2.717026032,-2.149634785,0.257333333,0.037786294,-3.072259429,-2.286249338,-2.888186857,-4.074168729,-2.63,-0.21,1.15,0.67,0.53,-23.3541435,1320890,1.685942972,24713000
9/29/2015,-0.020624026,0.207837263,0.073410543,0.151103553,-0.264572091,0.358164284,-0.521414048,-0.150423985,-0.07,-0.61,0.69,0.72,0.45,12.5983066,913992,-1.031893313,22691300
9/30/2015,1.840155276,2.212940814,0.195490751,-0.094432587,2.16708375,1.628850087,2.276087334,2.330906408,1.88,-0.47,-0.47,-0.41,-0.33,11.08413799,619926,-0.265257474,19743500
10/1/2015,0.202369244,0.225377857,0.053721367,0.060490892,0.417929235,0.117188537,0.45104606,0.195865315,0.13,-0.53,-0.05,-0.16,-0.15,-6.781292955,596084,0.628789962,20488800
10/2/2015,1.445245556,1.983791542,0.378282465,0.358565734,1.556698497,1.29299894,1.735959286,4.043053094,1.49,0.25,-0.82,-0.15,0.05,-1.700960582,219318,-0.107824088,19677900
10/5/2015,1.826560649,2.031734573,-0.390415607,-0.169680572,1.513548615,2.07241611,1.422397726,2.977929826,1.93,0.74,0.76,0.11,0.58,-7.643000943,234263,1.293780778,23335900
10/6/2015,-0.323368959,-0.021630709,0.134380129,-0.113278398,-0.656965667,-0.163730765,-0.475073165,2.195242282,-0.43,-0.09,1.64,0.32,0.55,3.440065056,262674,2.335414892,27535100
10/7/2015,0.898949124,1.651869999,0,-0.037786567,0.753222547,0.878434165,0.598211059,1.256212472,0.94,0.78,-0.23,-0.13,0.09,-6.550900371,218327,-1.265377847,22999200
10/8/2015,0.862051317,0.699683589,-0.158881368,-0.018863179,0.814357105,0.957401962,0.396845982,1.891219292,0.84,0.34,0.73,0.54,0.69,2.002822197,310266,-0.274069822,18515300
10/9/2015,0.134935056,0.274297005,-0.012246427,-0.189213167,0.342920135,-0.13617719,0.451570736,-0.650590059,0.12,0.1,-1.06,0.12,-0.12,4.545465348,386420,0.669225814,17353100
10/12/2015,0.019243015,-0.676552646,0.171127795,0.208076345,0.209007437,-0.049586099,0.24377906,-1.299375144,0.06,-0.44,-0.07,0.11,-0.17,-3.853975704,109567,0.562916137,17388300
10/13/2015,-0.734502792,-1.409967081,0.060985344,0.113344795,-0.790772932,-0.534537748,-0.648220974,-1.048878139,-0.74,-0.67,0.66,0.32,0.17,-2.979100657,303044,1.697640299,28198500
10/14/2015,-0.515436288,0.557816738,0.365319571,0.245059905,-0.412113838,-0.499807527,-0.160384223,0.857621764,-0.6,-0.27,-0.04,-0.44,0.38,-15.008701,971664,0.989446505,27462600
10/15/2015,1.500002964,1.760193782,-0.194673767,-0.131916326,1.572280893,1.442604646,1.629277884,1.78030575,1.56,0.6,-0.1,-1.07,-0.35,7.176446775,371022,0.92079163,25223500
10/16/2015,0.383469916,-0.042056175,-0.036527776,-0.037676713,0.349180043,0.443577259,0.417070415,0.13009493,0.36,-0.53,-0.33,0.05,0.06,-4.622750211,249891,3.306241945,35901500
10/19/2015,0.114747031,-0.675267902,0,0.018806895,0.291664779,-0.172290398,0.571817748,-1.998758926,0,0.11,-0.66,0.14,-0.32,-9.266612344,243742,0.215853219,25258800
10/20/2015,-0.114747031,-0.063535218,-0.158527139,-0.188720265,-0.263390273,0.03692852,-0.516339491,0.27961462,-0.15,0.14,1.2,0.46,0.15,-11.74382686,383921,2.261684213,30889800
